id,name,category,chemical_formula,color,hardness_mohs,luster,streak,cleavage,fracture,specific_gravity,crystal_system,formation_type,primary_elements,purity_percentage,quality_grade,commercial_value,industrial_uses,mining_region,market_value_usd_per_ton,extraction_difficulty,environmental_impact
281,Chromian Spinel,ore,"(Mg,Fe)(Cr,Al,Fe)2O4",black,7.5,submetallic,dark-brown,none,conchoidal,4.5,cubic,igneous,"Mg,Fe,Cr,Al,O",88,A2,premium,"refractory,chromium",Bushveld South Africa,400,moderate,moderate
282,Tennantite,ore,Cu12As4S13,gray,3.5,metallic,black,none,conchoidal,4.6,cubic,hydrothermal,"Cu,As,S",82,A3,high,"copper,arsenic",Brixlegg Austria,7500,difficult,high
283,Tetrahedrite,ore,Cu12Sb4S13,gray-black,3.5,metallic,black,none,conchoidal,4.9,cubic,hydrothermal,"Cu,Sb,S",78,A3,high,"copper,silver,antimony",Freiberg Germany,8000,difficult,high
284,Bournonite,ore,PbCuSbS3,steel-gray,2.5,metallic,gray,imperfect,conchoidal,5.8,orthorhombic,hydrothermal,"Pb,Cu,Sb,S",80,A3,high,"lead,copper,antimony",Cornwall UK,4000,difficult,high
285,Enargite,ore,Cu3AsS4,gray-black,3,metallic,black,perfect,uneven,4.5,orthorhombic,hydrothermal,"Cu,As,S",87,A2,premium,"copper,arsenic production",Butte Montana USA,7000,difficult,high
286,Proustite,ore,Ag3AsS3,scarlet-vermillion,2.5,adamantine,vermillion,none,conchoidal,5.6,trigonal,hydrothermal,"Ag,As,S",85,A2,premium,silver production,Chañarcillo Chile,22000,difficult,high
287,Stephanite,ore,Ag5SbS4,iron-black,2.5,metallic,iron-black,imperfect,uneven,6.3,orthorhombic,hydrothermal,"Ag,Sb,S",83,A3,high,"silver,antimony",Freiberg Germany,20000,difficult,high
288,Naumannite,ore,Ag2Se,iron-black,2.5,metallic,black,none,uneven,8.0,orthorhombic,hydrothermal,"Ag,Se",90,A2,premium,"silver,selenium",Joachimsthal Czech,25000,difficult,high
289,Stibnite,ore,Sb2S3,lead-gray,2,metallic,lead-gray,perfect,uneven,4.6,orthorhombic,hydrothermal,"Sb,S",97,A1,premium,"antimony production,flame retardant",Xikuangshan China,6000,moderate,high
290,Stibnite,ore,Sb2S3,dark-gray,2,metallic,gray,perfect,uneven,4.4,orthorhombic,hydrothermal,"Sb,S",75,A3,high,antimony extraction,Serbia,4500,moderate,high
291,Bismuthinite,ore,Bi2S3,lead-gray,2,metallic,lead-gray,perfect,uneven,6.8,orthorhombic,hydrothermal,"Bi,S",90,A2,premium,"bismuth production,cosmetics",Tasna Bolivia,12000,difficult,high
292,Vanadinite,ore,Pb5(VO4)3Cl,orange-red,3,resinous,white,none,conchoidal,6.9,hexagonal,hydrothermal,"Pb,V,O,Cl",85,A2,premium,"vanadium,lead",Mibladen Morocco,8000,difficult,moderate
293,Crocoite,ore,PbCrO4,orange-red,2.5,adamantine,orange-yellow,distinct,conchoidal,6.0,monoclinic,hydrothermal,"Pb,Cr,O",80,A3,high,"chromium,lead,pigment",Dundas Tasmania,5000,difficult,moderate
294,Pyrite,ore,FeS2,brass-yellow,6,metallic,greenish-black,none,uneven,5.0,cubic,hydrothermal,"Fe,S",78,A3,high,"sulfuric acid,gold recovery",Rio Tinto Spain,200,easy,high
295,Pyrite,ore,FeS2,gold-yellow,6,metallic,greenish-black,none,uneven,4.9,cubic,hydrothermal,"Fe,S",60,B2,medium,sulfur production,Elba Island Italy,150,easy,high
296,Arsenopyrite,ore,FeAsS,silver-white,5.5,metallic,black,none,uneven,6.1,monoclinic,hydrothermal,"Fe,As,S",82,A3,high,"arsenic,gold recovery",Freiberg Germany,500,moderate,high
297,Arsenopyrite,ore,FeAsS,gray,5.5,metallic,dark-gray,none,uneven,5.9,monoclinic,hydrothermal,"Fe,As,S",60,B2,medium,arsenic extraction,Portugal,350,moderate,high
298,Nickeline,ore,NiAs,pale-copper-red,5.5,metallic,brownish-black,none,uneven,7.8,hexagonal,hydrothermal,"Ni,As",88,A2,premium,"nickel,arsenic",Schneeberg Germany,18000,difficult,high
299,Smithsonite,ore,ZnCO3,white,4.5,vitreous,white,perfect,conchoidal,4.4,trigonal,sedimentary,"Zn,C,O",85,A2,premium,"zinc,ornamental",Kelly New Mexico USA,2800,moderate,moderate
300,Smithsonite,ore,ZnCO3,blue-green,4.5,vitreous,white,perfect,conchoidal,4.3,trigonal,sedimentary,"Zn,C,O",65,B1,medium,zinc extraction,Laurion Greece,2000,moderate,moderate
301,Talc,mineral,Mg3Si4O10(OH)2,white,1,pearly,white,perfect,uneven,2.75,monoclinic,metamorphic,"Mg,Si,O",95,A1,premium,"cosmetics,ceramics,paint",Montana USA,300,easy,low
302,Talc,mineral,Mg3Si4O10(OH)2,gray-green,1,pearly,white,perfect,uneven,2.7,monoclinic,metamorphic,"Mg,Si,O",75,A3,high,industrial filler,France,200,easy,low
303,Serpentine,mineral,Mg3Si2O5(OH)4,green,3.5,waxy,white,none,uneven,2.5,monoclinic,metamorphic,"Mg,Si,O,H",72,B1,high,"asbestos-free insulation,decorative",Quebec Canada,180,moderate,low
304,Chlorite,mineral,"(Mg,Fe)5Al(AlSi3O10)(OH)8",green,2,pearly,pale-green,perfect,uneven,2.6,monoclinic,metamorphic,"Mg,Fe,Al,Si,O",68,B1,medium,"filler,ceramics",Vermont USA,120,easy,low
305,Kyanite,mineral,Al2SiO5,blue,6,vitreous,white,perfect,uneven,3.6,triclinic,metamorphic,"Al,Si,O",90,A2,premium,"refractories,spark plugs",Kenya,550,moderate,low
306,Kyanite,mineral,Al2SiO5,gray,6,vitreous,white,perfect,uneven,3.58,triclinic,metamorphic,"Al,Si,O",68,B1,medium,refractory materials,North Carolina USA,380,moderate,low
307,Sillimanite,mineral,Al2SiO5,white,7,vitreous,white,perfect,uneven,3.25,orthorhombic,metamorphic,"Al,Si,O",88,A2,premium,"refractories,ceramics",Sri Lanka,500,difficult,low
308,Andalusite,mineral,Al2SiO5,pink,7.5,vitreous,white,poor,uneven,3.17,orthorhombic,metamorphic,"Al,Si,O",82,A3,high,"refractories,ceramics",Spain,450,moderate,low
309,Staurolite,mineral,Fe2Al9Si4O23(OH),brown,7,vitreous,gray,poor,conchoidal,3.75,monoclinic,metamorphic,"Fe,Al,Si,O",75,A3,high,"collector mineral,jewelry",Piemonte Italy,600,difficult,low
310,Cordierite,mineral,Mg2Al4Si5O18,blue,7,vitreous,white,none,conchoidal,2.6,orthorhombic,metamorphic,"Mg,Al,Si,O",82,A3,high,"gemstone,ceramics",Sri Lanka,1200,moderate,low
311,Prehnite,mineral,Ca2Al2Si3O10(OH)2,pale-green,6.5,vitreous,white,distinct,uneven,2.9,orthorhombic,hydrothermal,"Ca,Al,Si,O",78,A3,high,"collector mineral,gemstone",Western Australia,800,moderate,low
312,Pectolite,mineral,NaCa2Si3O8(OH),white,5,silky,white,perfect,uneven,2.86,triclinic,hydrothermal,"Na,Ca,Si,O",72,B1,high,Larimar gemstone,Dominican Republic,2000,difficult,low
313,Natrolite,mineral,Na2Al2Si3O10·2H2O,white,5.5,vitreous,white,perfect,uneven,2.25,orthorhombic,igneous,"Na,Al,Si,O",85,A2,premium,"zeolite applications,water treatment",Bohemia Czech,650,moderate,low
314,Scapolite,mineral,"(Na,Ca)4Al3Si9O24(Cl,CO3)",white,6,vitreous,white,distinct,conchoidal,2.65,tetragonal,metamorphic,"Na,Ca,Al,Si,O,Cl",72,B1,high,"gemstone,research",Tanzania,1000,difficult,low
315,Epidote,mineral,"Ca2Al2(Fe,Al)Si3O12(OH)",yellow-green,6.5,vitreous,gray,perfect,uneven,3.4,monoclinic,metamorphic,"Ca,Al,Fe,Si,O",75,A3,high,collector mineral,Austria,400,moderate,low
316,Vesuvianite,mineral,Ca10Mg2Al4Si9O34(OH)4,green,6.5,vitreous,white,poor,uneven,3.4,tetragonal,metamorphic,"Ca,Mg,Al,Si,O",78,A3,high,"gemstone,collector",Vesuvius Italy,600,difficult,low
317,Wollastonite,mineral,CaSiO3,white,5,vitreous,white,perfect,uneven,2.9,triclinic,metamorphic,"Ca,Si,O",88,A2,premium,"ceramics,filler,paint",Willsboro USA,380,moderate,low
318,Chrysocolla,mineral,"(Cu,Al)2H2Si2O5(OH)4·nH2O",blue-green,2.5,waxy,white,none,conchoidal,2.0,amorphous,hydrothermal,"Cu,Al,Si,O",72,B1,high,"ornamental,copper extraction",Bisbee USA,3500,moderate,moderate
319,Azurmalachite,mineral,Cu3(CO3)2(OH)2+Cu2(CO3)(OH)2,blue-green,3.5,vitreous,pale-green,perfect,uneven,3.8,monoclinic,hydrothermal,"Cu,C,O,H",82,A3,high,"ornamental,jewelry",Katanga DRC,12000,difficult,moderate
320,Lapis Lazuli,stone,"(Na,Ca)8(AlSiO4)6(SO4,S,Cl)2",blue,5.5,waxy,light-blue,none,uneven,2.8,cubic,metamorphic,"Na,Ca,Al,Si,S,O",88,A2,premium,"jewelry,pigment,ornamental",Badakhshan Afghanistan,15000,difficult,low
321,Lapis Lazuli,stone,"(Na,Ca)8(AlSiO4)6(SO4,S,Cl)2",medium-blue,5.5,waxy,light-blue,none,uneven,2.75,cubic,metamorphic,"Na,Ca,Al,Si,S,O",68,B1,medium,ornamental,Chile,9000,difficult,low
322,Malachite (stone),stone,Cu2(CO3)(OH)2,vivid-green,3.5,vitreous,pale-green,perfect,uneven,4.0,monoclinic,hydrothermal,"Cu,C,O,H",90,A2,premium,"ornamental,sculpture",Katanga DRC,18000,moderate,moderate
323,Labradorite,stone,"(Ca,Na)(Al,Si)4O8",gray-blue,6,vitreous,white,perfect,uneven,2.7,triclinic,igneous,"Ca,Na,Al,Si,O",85,A2,premium,"jewelry,dimension stone",Labrador Canada,800,easy,low
324,Moonstone,stone,KAlSi3O8,white-blue,6,vitreous,white,perfect,uneven,2.57,monoclinic,igneous,"K,Al,Si,O",88,A2,premium,"jewelry,gemstone",Sri Lanka,5000,moderate,low
325,Sunstone,stone,"(Ca,Na)(Al,Si)4O8",orange-red,6,vitreous,white,perfect,uneven,2.65,triclinic,igneous,"Ca,Na,Al,Si,O",82,A3,high,"jewelry,decorative",Oregon USA,3000,moderate,low
326,Chrysoprase,stone,SiO2+Ni,apple-green,7,vitreous,white,none,conchoidal,2.62,trigonal,sedimentary,"Si,Ni,O",88,A2,premium,"jewelry,gemstone",Queensland Australia,2000,moderate,low
327,Carnelian,stone,SiO2,red-orange,7,waxy,white,none,conchoidal,2.61,trigonal,sedimentary,"Si,Fe,O",82,A3,high,"jewelry,ornamental",India,800,moderate,low
328,Onyx,stone,SiO2,black-white,7,waxy,white,none,conchoidal,2.61,trigonal,sedimentary,"Si,O",85,A2,premium,"jewelry,carvings",Brazil,600,moderate,low
329,Jasper,stone,SiO2,red,7,dull,white,none,conchoidal,2.6,trigonal,sedimentary,"Si,Fe,O",82,A3,high,"ornamental,carvings",Oregon USA,500,easy,low
330,Peridot,stone,"(Mg,Fe)2SiO4",yellowish-green,6.5,vitreous,colorless,none,conchoidal,3.4,orthorhombic,igneous,"Mg,Fe,Si,O",90,A2,premium,"gemstone,jewelry",Red Sea Egypt,12000,difficult,low
331,Alexandrite,stone,BeAl2O4,green-red,8.5,vitreous,white,distinct,conchoidal,3.75,orthorhombic,metamorphic,"Be,Al,O",95,A1,premium,"gemstone,color-change jewelry",Ural Russia,1500000,very-difficult,low
332,Tanzanite,stone,Ca2Al3(SiO4)(Si2O7)O(OH),blue-violet,6.5,vitreous,white,perfect,uneven,3.35,orthorhombic,metamorphic,"Ca,Al,Si,O",93,A2,premium,"gemstone,jewelry",Merelani Tanzania,1200000,very-difficult,low
333,Morganite,stone,Be3Al2Si6O18,pink,7.5,vitreous,white,none,conchoidal,2.72,hexagonal,hydrothermal,"Be,Al,Si,Mn,O",90,A2,premium,"gemstone,jewelry",Minas Gerais Brazil,180000,difficult,low
334,Heliodor,stone,Be3Al2Si6O18,yellow,7.5,vitreous,white,none,conchoidal,2.71,hexagonal,hydrothermal,"Be,Al,Si,Fe,O",85,A2,premium,"gemstone,jewelry",Ukraine,100000,difficult,low
335,Spessartine,stone,Mn3Al2Si3O12,orange-red,7.5,vitreous,white,none,conchoidal,4.2,cubic,metamorphic,"Mn,Al,Si,O",88,A2,premium,"gemstone,abrasive",Namibia,3500,moderate,low
336,Demantoid,stone,Ca3Fe2Si3O12,green,6.5,adamantine,white,none,conchoidal,3.82,cubic,metamorphic,"Ca,Fe,Si,O",92,A2,premium,"gemstone,jewelry",Ural Russia,1000000,very-difficult,low
337,Tsavorite,stone,Ca3Al2Si3O12,green,7.5,vitreous,white,none,conchoidal,3.6,cubic,metamorphic,"Ca,Al,Si,V,O",95,A1,premium,"gemstone,jewelry",Tsavo Kenya,500000,very-difficult,low
